token,frequency
tərifini,4
xəzinəsini,4
xəbərim,4
Rəqib,4
dostların,4
"öyünmə,",4
"pərvanə,",4
anıb,4
xəttinin,4
"ayağına,",4
bəyana,4
Damla-damla,4
Ceyhun,4
Şad,4
verdin,4
Aşiqi,4
Cürbəcür,4
bildirdi.,4
edən.,4
"döndərdim,",4
"sözün,",4
sərt,4
"dəniz,",4
özümdən,4
qürbətə,4
zəngin,4
halımdan,4
qəfəs,4
Daraq,4
"keç,",4
küçəsini,4
keç!,4
ömrümü,4
dodaqlı,4
məşuq,4
"tapmaz,",4
asandır.,4
"gəlməz,",4
onlardan,4
əyilmiş,4
Yel,4
tar,4
"dağıdıb,",4
bina,4
memar,4
pas,4
Hicranının,4
"acı,",4
şərhi,4
sağər,4
könülə,4
malına,4
şəfaət,4
bağışlanma,4
"yoldur,",4
müalicə,4
bürhan,4
elmin,4
Hökm,4
qələmin,4
Qur'an,4
"olsam,",4
"heyranam,",4
"yolunu,",4
qoymadı.,4
gövhəri,4
torpaqdır,4
gil,4
bədənimə,4
edərdi.,4
məmur,4
"tutma,",4
Tut,4
"ayırma,",4
"nəsihətçi,",4
qiyas,4
rindlərin,4
dağına,4
gedim,4
alsın,4
yolum,4
"Bağban,",4
ağacına,4
dura,4
çıxmış,4
"olam,",4
Çıxıb,4
tökməyə,4
canımda,4
Harda,4
tən,4
Quş,4
Sevgilim,4
bürüdü,4
Yerdə,4
kimsəyə,4
girib,4
danışır.,4
göstərdi,4
tapmış,4
"atəşi,",4
"oldular,",4
məqsədə,4
"çatdım,",4
"qanını,",4
"içmə,",4
edirlər,4
etmədən,4
"bağban,",4
əlbəttə,4
Bilirəm,4
gəlin,4
"tökülür,",4
yeridir,4
sübhü,4
tozunu,4
"yolunda,",4
qaçıb,4
atəşindən,4
ayırdı,4
anı,4
Zərrə,4
çıxmağa,4
kəbab,4
namaza,4
quşları,4
tapıb,4
"dağlar,",4
səyyar,4
sapı,4
gülşəninin,4
bizdə,4
daşından,4
Cünun,4
qala,4
işıqlı,4
gülşəni,4
"öldürdü,",4
"edirlər,",4
"vəli,",4
gülləri,4
dərdlərə,4
"dilərəm,",4
səbir,4
boyunu,4
"etmir,",4
zəlalət,4
Könlümdə,4
qeyd,4
inqilab,4
"verə,",4
Uca,4
xeyri,4
"görsən,",4
etmərəm,4
yanımda,4
güc,4
gecəsinin,4
gözlərimdən,4
onlar.,4
görmə,4
cəfalar,4
Şamın,4
qəzəbi,4
idrak,4
Kəbəyə,4
bənzədən,4
"edərsə,",4
seyrə,4
zəmanə,4
qapıları,4
təsdiq,4
yetirdi.,4
hiddətlə,4
turş,4
dişləri,4
qulağı,4
"oluram,",4
zəfəran,4
Zöhrə,4
qətrə,4
hara,4
paltarı,4
Alma,4
sağlamlıq,4
əlac,4
yanaşı,4
bədnam,4
"oynar,",4
qoydu.,4
şöhrətli,4
"Sus,",4
şəkli,4
tərifə,4
meylim,4
Nar,4
"durdu,",4
Əcəm,4
beyt,4
xasiyyət,4
halva,4
işığı,4
dəyişib,4
"gördükdə,",4
keçər.,4
cila,4
rəngim,4
təyin,4
bostanda,4
pənahım,4
yeyib,4
kəmənd,4
qamətim,4
Hökmünə,4
zülmə,4
xalından,4
aldın,4
"kədər,",4
belə.,4
talan,4
Hərami,4
tutmuşlar.,4
zahidlər,4
boşuna,4
"aşiqə,",4
addım,4
kamilliyə,4
nəğməsini,4
fəryada,4
şövqünü,4
"olmaq,",4
Torpağın,4
"vermiş,",4
aləminin,4
Mütləq,4
"demərəm,",4
Dün,4
"surət,",4
simalı,4
səmimiyyət,4
zatı,4
şərəfi,4
elminin,4
taxtının,4
bağçasının,4
Yoxsulluq,4
rütbə,4
iddia,4
qalsın,4
qiyaməti,4
gör.,4
etməsin,4
sağlam,4
Məcnundan,4
mahir,4
şəhərinin,4
qədəhini,4
fasiləsiz,4
Cəfa,4
halım,4
Bəxtimin,4
Əcəl,4
tikandan,4
kam,4
cismimdə,4
"çatsam,",4
ot,4
olsaydı,4
"dəm,",4
üstündəki,4
boyunun,4
düşsün,4
hərəminə,4
alsa,4
şəhər,4
ehtiram,4
Üzüm,4
dənəsi,4
qabarcıq,4
saqiyə,4
"üzü,",4
əğyar,4
getmə,4
zamandan,4
"şux,",4
İrəm,4
dövrünü,4
eyb,4
bədənimin,4
açılan,4
talib,4
Halbuki,4
"dələr,",4
dilənçi,4
"edərlər,",4
sözümün,4
Başımda,4
heyf,4
Gözəlliyini,4
tutaq,4
yarasının,4
havadan,4
"bülbüləm,",4
baharım,4
etməyimdəndir.,4
Əbəs,4
yanar.,4
səhrasında,4
sənəm,4
xidmətinə,4
çatıb,4
nəqqaş,4
gülşənin,4
"qönçə,",4
götürüb,4
"halda,",4
özümə,4
səbəbsiz,4
nəvaziş,4
yetim,4
onlarda,4
vəziyyətini,4
sultana,4
"halını,",4
üstündür,4
"sirdaşım,",4
"bədəni,",4
siması,4
saçlarını,4
"kölgəsi,",4
lövhündə,4
İman,4
nəsim,4
Qəbrimin,4
"Deyəsən,",4
məqsədim,4
"aşiqəm,",4
"yetdi,",4
Eşqdir,4
Şərabda,4
səsin,4
edərkən,4
rəftar,4
tərtib,4
küləkdən,4
yelindən,4
gördükcə,4
çöküntüsü,4
"sahibidir,",4
gülşəndir,4
"müsəlmanlar,",4
şahlara,4
layiqli,4
qədəhinə,4
bazarı,4
aşkara,4
boşa,4
birinə,4
Sözünün,4
əhatə,4
qorxudan,4
xəttinə,4
arzusuyla,4
sakit,4
öpmək,4
qumrunun,4
dilər.,4
verə.,4
bəxtimin,4
tərsinə,4
Xəlil,4
zülalı,4
qalib,4
göstərər,4
cəhənnəmə,4
batil,4
aləmində,4
"candan,",4
vəhy,4
hərəkəti,4
desəm,4
buludlar,4
zahidin,4
"qoysan,",4
aynasına,4
"başladı,",4
sənətin,4
"təzahürü,",4
qədəhlə,4
qaşlı,4
qəddi,4
uğur,4
Xeyir,4
lövhəsinə,4
kərim,4
dəyəri,4
Yola,4
haqqdan,4
bilməm,4
Dərviş,4
Rumun,4
çərx,4
Gülzar,4
Qəmzən,4
Füzuliyə,4
"bildim,",4
bağrıma,4
tapan,4
tənəsi,4
belindən,4
Saqinin,4
Görən,4
oturan,4
heyvan.,4
qanadı,4
"quldur,",4
vəsfi,4
"açılır,",4
Möhnətə,4
"tapar,",4
"bəşər,",4
tapsa,4
Davud,4
"qiyamət,",4
dişin,4
"hünər,",4
öpməyə,4
itlərin,4
hindu,4
getmə.,4
canla,4
düşür,4
təmanı,4
"etməsə,",4
təməni,4
imarət,4
töhmət,4
əql,4
ələm,4
ver!,4
versin.,4
Çərşənbə,4
saz,4
gələcək,4
"üzümə,",4
"doldur,",4
Tar,4
"quluyam,",4
çeşmədən,4
əvəz,4
qəlbə,4
cismini,4
tapar.,4
"çatsın,",4
dəxi,4
şən.,4
"canımı,",4
"həsrət,",4
xəzinəm,4
"qızıl,",4
müşkül,4
dinlə,4
ona:,4
mənalı,4
bağladı,4
sirrin,4
düşmən.,4
xilaf,4
kəlmədə,4
"mey,",4
düşmədi,4
edirdi.,4
indi.,4
dövrə,4
"görək,",4
"işə,",4
"yolda,",4
gətirən,4
yetən,4
Bilmir,4
"düşübdür,",4
uzağa,4
"huri,",4
lövh,4
atmış,4
həzin,4
aşiqlərə,4
budur:,4
edə.,4
kəlmə,4
"elədi,",4
"qorxma,",4
"yan,",4
qatı,4
"düşmən,",4
sevdalı,4
bil.,4
ürəyimdən,4
əcaib,4
kəndli,4
əvəzində,4
çək!,4
"apardı,",4
heyhat!,4
tor,4
yoxdursa,4
"əzabı,",4
parıltısı,4
Eşqinə,4
"düşmədi,",4
Uzaqdan,4
"sevdim,",4
"saç,",4
əzabı,4
Cam,4
nəyi,4
məxsus,4
"məst,",4
"bilmir,",4
haradadır.,4
Nuhun,4
ölən,4
aləm.,4
ruhum,4
keçir,4
Günahım,4
diyarına,4
"xarab,",4
"dünyadan,",4
"baxsam,",4
sürahi,4
düşmək,4
əlimdə,4
Divanə,4
üzündəki,4
dərdimin,4
qızılgül,4
etdirən,4
canfəza,4
Alçaq,4
odun,4
xəzinəni,4
Tikan,4
qüdrəti,4
Qovuşmağın,4
gəzmə,4
nihan,4
"ox,",4
kamran,4
şərti,4
tutduğun,4
"olduqda,",4
Xosrov,4
qoymuş,4
kəlamı,4
ara,4
Adəmin,4
ikən.,4
əbədiyyət,4
edəsən.,4
"sorma,",4
vaqif,4
"sərvi,",4
"inci,",4
candır,4
ləzzəti,4
fitnələr,4
bədənə,4
zatına,4
etməzdimmi?,4
görməyə,4
"dəstə,",4
həqiqətin,4
diqqətlə,4
"avarə,",4
"Gözəl,",4
Dodağı,4
Dodağını,4
Yolda,4
Demək,4
qalxan,4
atına,4
Doqquz,4
yazdı,4
namərd,4
şahların,4
"axtarma,",4
"istəyir,",4
haqdan,4
əqli,4
Kəndli,4
cəhənnəmdə,4
dənizdə,4
Xuda,4
Behişt,4
əsasını,4
ömrünü,4
dürrü,4
məktəb,4
ziya,4
"göndərdi,",4
əyan,4
"şad,",4
ağacda,4
şirəsi,4
ətdən,4
Səninlə,4
ceyranı,4
Mömin,4
rizvan,4
Mənzilə,4
qurtum,4
"""Ənəlhəq""",4
"tikan,",4
dürüst,4
camalına,4
"qopdu,",4
Vəli,4
"boyandı,",4
"yetişdi,",4
Tatar,4
çadır,4
doldu.,4
bazara,4
yetişdi.,4
kərə,4
fərmanına,4
gir,4
Dərdi,4
"nərgiz,",4
Başıma,4
aşiqəm,4
Lütflə,4
tüküm,4
nuruna,4
"abi-həyat,",4
Hətta,4
qulluq,4
əhlidir.,4
Gözündə,4
bitdi,4
bədr,4
incini,4
"lalə,",4
qədəhindən,4
Camalının,4
fitnəsi,4
məkanı,4
Vücudun,4
ləbindən,4
qarın,4
Dili,4
"məlik,",4
"olmuşuq,",4
nəfəsin,4
yardan,4
Elmdə,4
Xeyri,4
"cana,",4
"gövhəri,",4
Səbrimi,4
"qərarım,",4
Hicranın,4
"gülşən,",4
"dodaqlı,",4
əsa,4
"yaratdı,",4
çatmadı,4
taxta,4
"dünyanın,",4
"olundu,",4
kökü,4
anla,4
"Yəni,",4
məsələyə,4
"qələm,",4
murada,4
arxa,4
haqqa,4
Düşdü,4
canımla,4
yanağı,4
girdi,4
əbədiyyətə,4
Ərş,4
hərf,4
görmüşdü,4
dindən,4
Sənan,4
"gələndə,",4
Səcdə,4
əbədilik,4
meydən,4
sevgi,4
Süleyman.,4
həqiqətə,4
öncə,4
"bilməyən,",4
binəva,4
"ənbərim,",4
"gözlüm,",4
qənd,4
"varlığım,",4
"tükəndi,",4
inciləri,4
vur,4
edək.,4
vücudumun,4
qüdrətinin,4
Candan,4
Ədən,4
səhnində,4
"sirri,",4
bəşər,4
mehrabı,4
"qaşın,",4
"ədib,",4
Ləblərin,4
Danışan,4
"tanı,",4
surəsi,4
"yerdə,",4
dinsiz,4
ruha,4
"fəqih,",4
inayət,4
kişiyə,4
qərarımı,4
qorxma,4
"kənara,",4
tuba,4
ruzigar,4
fikrinə,4
rəvadır,4
"Kəbəsi,",4
kəsi,4
tərcümə,4
qəfəsdən,4
ərş,4
Görəndə,4
rəmzi,4
cəmalının,4
əlacı,4
canı.,4
"yanır,",4
küp,4
"Zülfün,",4
Tale,4
dolunay,4
"üzündə,",4
meyindən,4
şəhərinə,4
misilsiz,4
nəticə,4
Haqdan,4
xalis,4
ruhumu,4
getməz,4
dilbər.,4
yaradır,4
yuxunu,4
Daima,4
şeyxi,4
müşkə,4
təşnə,4
aşiqinə,4
Camalın,4
"ağacı,",4
ləblərin,4
"məndədir,",4
düşməyən,4
hədər,4
hacı,4
"möhnət,",4
atdı,4
Köhnə,4
türk,4
gözəldir.,4
yaranmış,4
qəmər,4
şahidim,4
gülündən,4
"eylərəm,",4
"eşqinə,",4
Gözləri,4
ağlayıb,4
camal,4
burda,4
"muradım,",4
Deyil,4
Türk,4
möhnətə,4
Minlərlə,4
oyan!,4
Otuz,4
"götürdü,",4
Hüma,4
görmədi,4
qovuşan,4
Qamətin,4
Azər,4
yazan,4
"qoyar,",4
Şövqlə,4
"ayağını,",4
hədəf,4
"əsər,",4
vəbal,4
içindəki,4
Heydərin,4
danışan,4
bizimlə,4
hasar,4
ürək.,4
"qaşı,",4
"baxın,",4
"əhlidir,",4
peyman,4
"heyran,",4
döndərmərəm!,4
canımdan,4
And,4
fəraq,4
qəzəl,4
oxuyan,4
Fikri,4
Zülfünü,4
Nadan,4
dirilik,4
Fəda,4
Axirət,4
qəlbində,4
sınmış,4
işimiz,4
özündə,4
"dayan,",4
"durur,",4
"yola,",4
"fanidir,",4
"geyindi,",4
Budaq,4
Ulduzlar,4
Şahbaz,4
busə,4
evə,4
Rüstəm,4
Qurban,4
dalına,4
Qədim,4
siyah,4
Şikəstə,4
Sözü,4
Ucu,4
Zər,4
sinə,4
"vallah,",4
tökülüb,4
"nazik,",4
diyarın,4
nisbəti,4
qibləsi,4
namə,4
Əlim,4
"intizar,",4
"Zakirəm,",4
uzaqda,4
"oturub,",4
qurtar,4
Loğmanın,4
"sevən,",4
nazla,4
düşəndə,4
şərbət,4
Əzrayıl,4
Cavab,4
sahibləri,4
ikram,4
israr,4
şəxsə,4
oğlunu,4
Tərbiyə,4
Xəbərdar,4
Gözünə,4
hüzuruna,4
"getdim,",4
Elmsiz,4
kimini,4
mərdcəsinə,4
"etsinlər,",4
"xan,",4
"Qorxma,",4
danışmaq,4
"ölüb,",4
"bəydir,",4
tüğyan,4
ət,4
çuxa,4
arvad,4
çatar,4
Şirvanı,4
xana,4
olarmı?,4
saqqalını,4
şəxsi,4
Xüsusən,4
xəyalla,4
eyləsin,4
əzaya,4
sözlü,4
Sağ,4
dəydi,4
"Natəvan,",4
silah,4
gər,4
Torpağa,4
Ağır,4
darda,4
Həsrətini,4
"Vidadi,",4
beyni,4
yaşın,4
"kəsər,",4
oğlana,4
işdən,4
ağlamaq,4
"qatığı,",4
"zəhər,",4
"yatar,",4
yetişər,4
"sifət,",4
qız,4
kəsilər,4
quşun,4
həştü,4
baxa,4
ha,4
"doğar,",4
vaxtadək,4
Yolun,4
"gətirmisən,",4
peşkəş!,4
Gövhər,4
"ağlayıram,",4
yoxsul,4
elmini,4
Boş,4
Məna,4
Fəzilət,4
Gördülər,4
"vermişəm,",4
"oğlu,",4
hüma,4
nalan,4
pələng,4
"geyinib,",4
onun.,4
dodaqdan,4
məni!,4
atam,4
"çəkildi,",4
rəqs,4
səhərin,4
bəyaz,4
hamilə,4
məgər?,4
hökmdar,4
Nurlu,4
Yay,4
Günəşi,4
duanı,4
versən.,4
əgər.,4
ancaq.,4
döyüş,4
Halına,4
"gələ,",4
Qoyun,4
biganə,4
"bilməzdim,",4
gözəli,4
Peyğəmbər,4
vilayət,4
"edə,",4
Yanağı,4
ixtiyarın,4
Qəbul,4
düşmüşdür.,4
tel,4
tükü,4
ciddi,4
üzr,4
filan,4
adlı,4
şeyə,4
"istəmirəm,",4
olsalar,4
"çağırdı,",4
İsmayılı,4
şiəliyə,4
çatıb.,4
"edirdi,",4
daxilində,4
Yoluna,4
Qaldı,4
ağlayır?,4
"bilirəm,",4
kirpikləri,4
Biçarə,4
gen,4
basıb,4
"sevmişəm,",4
günüm,4
olsunmu?,4
bada,4
dönsünmü?,4
edəydi.,4
"Görüm,",4
Ölüncə,4
tüfəng.,4
Yana-yana,4
qalıbdır,4
qapısında,4
İsti,4
şirin-şirin,4
gözəl.,4
Ağlar,4
vurur,4
"hiyləgər,",4
"il,",4
görəydim.,4
zülfləri,4
gecənin,4
mərdin,4
"xəstədir,",4
görməyib,4
"idin,",4
anan,4
mina,4
qucaq,4
əlamət,4
"yana,",4
"dərya,",4
Gərəkdir,4
dəstə,4
Kürk,4
"yol,",4
doyunca,4
olum!,4
alma,4
Qismət,4
diş,4
öpərdim,4
tərsa,4
Məscidə,4
azdır,4
qaraçarqat.,4
"gedəcəkdir,",4
gedəcəkdir.,4
Ov,4
"qoyun,",4
quzu,4
Əlbəttə,4
Zakir,4
qızılı,4
öküz,4
"qardaş,",4
"sözdür,",4
dərgahı,4
"olalı,",4
məndən.,4
fikirlə,4
səninlə.,4
"Doğrudur,",4
kök,4
İlk,4
"olmayıb,",4
tutub.,4
Oğru,4
ordusu,4
ağzım,4
çağıdır.,4
görən.,4
tutsa,4
Abid,4
rübab,4
təhsil,4
"siçan,",4
"Salam,",4
avazlı,4
"yemək,",4
"bibi,",4
tikə,4
"Sən,",4
Rus,4
"soruşdu,",4
gedir,4
vəsiyyət,4
yatdı,4
olursan,4
"müdrik,",4
şəxsin,4
Gördüyün,4
həzrəti,4
zəkası,4
qalmış,4
"bilərsən,",4
nəhs,4
Dəmir,4
Başqaları,4
təkrar.,4
tərəqqi,4
"Demək,",4
pişiyi,4
"pişik,",4
pişik.,4
donuz,4
"bəllidir,",4
deyildir,4
ağa,4
doğrudan,4
Əhməd,4
"""Gül",4
bədii,4
"unutma,",4
Dedin,4
düşməndən,4
pusquda,4
nal,4
Göyərçin,4
behiştə,4
ayağından,4
təbi,4
Göylərin,4
dövran.,4
xaqan.,4
otlar,4
Ənqa,4
Ahımdan,4
camda,4
Düşməndən,4
Sözlərimi,4
fəqət,4
söyüd,4
sözündə,4
bakirə,4
ölkədə,4
Zəmanənin,4
təlqin,4
canları,4
Simurğ,4
asiman.,4
hökmran.,4
asan.,4
Yaradan.,4
ilin,4
dünyanı.,4
Xaqani.,4
Aynaya,4
Yolunu,4
"gözləmə,",4
sevimli,4
şahə,4
salır.,3
vücudumu,3
Üzümün,3
aləti,3
işdir,3
Sünbülü,3
danışmağa,3
Sərvə,3
tərzinə,3
yuxusunda,3
görüşməyin,3
Ağlayan,3
"batıb,",3
Yerinə,3
sinəmə,3
"yaraşır,",3
qönçənin,3
Boyuna,3
"girdim,",3
Gülü,3
yaxamı,3
yaramın,3
kakilinin,3
ahımla,3
ağılın,3
Şəhərdə,3
deyirlər:,3
ömürdür,3
"lazımdır,",3
təqva,3
yarpağına,3
kölgəni,3
Süzgün,3
yaya,3
müşkin,3
qurtarmaq,3
fəttan,3
"zamanlar,",3
dərmanın,3
qorx,3
Nazlı,3
parçası,3
həyatı,3
heyranam.,3
sünbülündən,3
cismimə,3
təbib,3
qamətinin,3
dərgahın,3
zövqünə,3
dağının,3
aynasından,3
dəftərini,3
Xalının,3
qanadlı,3
baxışını,3
ağzın,3
Aciz,3
"surətini,",3
tiğini,3
"sərxoş,",3
Şərabı,3
qorxum,3
qəfil,3
içənlər,3
Ağıla,3
saxlasın,3
"endirdi,",3
möcüzəsini,3
götürdü.,3
əsanı,3
sınıq,3
yayı,3
varkən,3
gündür,3
etsəm.,3
günündən,3
cismə,3
gördüyüm,3
Ətəyindən,3
əlim,3
yaxamın,3
"daşı,",3
qəddini,3
qovuşmağı,3
Sağalmaq,3
xəbərini,3
"baxmaz,",3
Vüsalını,3
yarpaq,3
yarpağını,3
"vermişdi,",3
tənha,3
"getdisə,",3
Kəbab,3
söylər,3
sabit,3
yarpaqları,3
"bağlanmış,",3
"açdım,",3
məclisdən,3
olunmuş,3
"zəif,",3
köməkçi,3
müsibətdə,3
Meyxanələrin,3
malın,3
düşüncəli,3
geyim,3
iztirab,3
kədərə,3
qışda,3
"göstərir,",3
xatırladar.,3
qüdrətin,3
keyfiyyətini,3
Süleymanı,3
təsəvvür,3
varını,3
cəfasından,3
edərlər.,3
"çarəsiz,",3
Bədənimdə,3
sümük,3
atdığı,3
zəifliyi,3
gizlədər.,3
qəsdiylə,3
cədvəl,3
təbiətin,3
vəhşi,3
ölüləri,3
kamilliyini,3
Fəqr,3
Yetər,3
məşq,3
boynumda,3
"etdimsə,",3
san,3
"edərdim,",3
görə-görə,3
zəval,3
məlal,3
"tutmuşdur,",3
Köksümə,3
vurur.,3
günlərinin,3
"artırır,",3
müddəti,3
öyüd,3
"çətindir,",3
zənciri,3
Saqi!,3
nəşəsi,3
Canın,3
İstəsən,3
"qüssə,",3
Cahana,3
lalədən,3
dolmuşdu,3
şəbnəm,3
huşsuz,3
"məhbub,",3
Adı,3
Süheyl,3
badəsi,3
Xidmətində,3
Məclisdə,3
Nagah,3
təkbir,3
"danışır,",3
gücünə,3
Yersiz,3
munis,3
səhifəsində,3
sevgisini,3
cahillikdən,3
"saldıqda,",3
Eşqdə,3
Aldanma,3
"gəzib,",3
bülbüləm,3
ümmana,3
etdikdə.,3
"fəğan,",3
yuxulu,3
cananımın,3
gülüzlünün,3
sərvini,3
deyərlər,3
bəhrəsi,3
xalına,3
"tutsam,",3
ikrah,3
olmayanlar,3
verməklə,3
Cismimi,3
"yandırma,",3
yaşıma,3
həyatımı,3
Küçəndə,3
qəddim,3
yayını,3
daxili,3
bəbəklərini,3
kirpiklərin,3
dözmək,3
kamalını,3
üstünə.,3
"ağla,",3
belinin,3
anası,3
"əsiri,",3
"bizik,",3
sevdiyin,3
Görənlər,3
xəstəsi,3
"deyənlər,",3
qəzanın,3
saçların,3
aşiqini,3
"içdim,",3
Gülən,3
ölkəyə,3
"dolu,",3
"seli,",3
olunan,3
hədəfə,3
qabarcığı,3
ölkəsinin,3
rənglər,3
"Dostum,",3
"olduqca,",3
zülməti,3
edin,3
"incədir,",3
bilmirəm.,3
dildarın,3
ciyərimin,3
baxışının,3
kafiri,3
ayaqlar,3
"dəyməz,",3
həmən,3
dövründən,3
Dərdimi,3
Hurilər,3
qılmanlar,3
meyxanədən,3
"anlar,",3
mələyi,3
fəryadın,3
"batmışam,",3
ağacının,3
"zülmü,",3
"dildir,",3
Müqəddəs,3
ruhlardan,3
Bildim,3
gəlməz.,3
əhdinə,3
qıpqırmızı,3
sözlə,3
sevənlər,3
şahdan,3
dəxli,3
geyinib,3
məclisindən,3
edən?,3
Məqsədinə,3
zülflərin,3
hünərin,3
Canına,3
qürbət,3
yarandı.,3
Parlayan,3
bədəndə,3
qəfildən,3
"qaşlı,",3
Həkim,3
Cana,3
qulunam.,3
"etmisən,",3
Bir-iki,3
Təklik,3
"evi,",3
qaniçən,3
daha!,3
üzlüyə,3
"eşq,",3
"aldın,",3
afərin,3
Zülmə,3
yarasını,3
"çıxsa,",3
təməlini,3
yaşayan,3
"canısan,",3
məlahət,3
zirvəsinin,3
"demiş,",3
laqeydlik,3
"yamandır,",3
gəzib,3
qübbəsi,3
musiqi,3
qılıncından,3
"bilməyib,",3
iz,3
zülmün,3
"xoş,",3
Təzə-təzə,3
dağıdır,3
könlünün,3
ovuna,3
deyərdim,3
risalət,3
İnsanlar,3
nizamı,3
mövcud,3
feyzə,3
şanına,3
Fürqan,3
Cahil,3
dinlərin,3
təkəbbür,3
"saxlayar,",3
xəncərinə,3
nurla,3
hicranda,3
qüvvətli,3
evim,3
"Kövsər,",3
məhkum,3
Qovuşmaq,3
zəncirini,3
bayquş,3
gözəlsən,3
"Səndən,",3
haldır,3
könüllərin,3
səhərdən,3
"getmərəm,",3
fərağından,3
vermişdir.,3
badəni,3
başqasından,3
görünməz,3
"atdın,",3
yaraşıqlı,3
Vay,3
varlığımı,3
günümü,3
qopar,3
dərmandan,3
artıqdır,3
"bilmədin,",3
Zəhmət,3
çör-çöp,3
oxuyub,3
birgə,3
dövlətini,3
rəqibin,3
pərdəsini,3
pərva,3
istəyi,3
pərişanlıq,3
daşla,3
deyilmi,3
Dəmadəm,3
"yaşımdır,",3
narahat,3
könlümü.,3
xəncəri,3
"görür,",3
"bilmədim,",3
Heyrət,3
çölündə,3
daşları,3
ətrafıma,3
üzlünün,3
yaşlarımı,3
sinəni,3
"bəla,",3
şəbistan,3
dedin,3
günlərim,3
gözümü,3
açanda,3
döndərdi.,3
sərab,3
tüstüsü,3
ətrafımda,3
Qaçıb,3
dağa,3
itlərinə,3
"bəbəyi,",3
yaşlarını,3
xəttindən,3
Könlün,3
ahımdan,3
eldən,3
Oxların,3
afətdən,3
Sərvin,3
yaxşıca,3
qapısından,3
sinəsini,3
Axşam,3
aşiqdir,3
"gözümdən,",3
"çəkilib,",3
"qalma,",3
iztirabını,3
çəkməz,3
"Hərçənd,",3
verim,3
soruşdum,3
Naləm,3
Cəllad,3
tutmuş.,3
"tapmışam,",3
"üzdü,",3
Aman,3
didarını,3
nazı,3
xak,3
xəyalını,3
libas,3
məkanda,3
yansın,3
avara,3
Ayağından,3
çəkilən,3
məlhəmi,3
şəklini,3
qərib.,3
təbib.,3
qəfəsdə,3
göstərər.,3
Dilim,3
qönçəni,3
görəndə?,3
istəyini,3
İmana,3
yaxanı,3
bağından,3
köç,3
səylə,3
Əhmədin,3
gizlətmək,3
"tapılar,",3
"atma,",3
Ehtiyatlı,3
ləlini,3
"çarə,",3
gözəlləri,3
Tanrının,3
imamların,3
yaşlarının,3
ayıb,3
yuxusu,3
"asandır,",3
yayına,3
eyləyə,3
Açma,3
həsədi,3
dadını,3
mehrabın,3
ipi,3
həsrətim,3
tozuna,3
Təravətli,3
əzabına,3
qəssabın,3
iltifatı,3
vacibdir.,3
qurtuluş,3
Hekayət,3
"gəzərkən,",3
"rəvan,",3
ölmüş,3
"quruldu,",3
Bülbüllər,3
naləvü,3
gəzməyə,3
"salanda,",3
meyvələrin,3
bilər?,3
qol-budaq,3
ağzında,3
yeməyə,3
qarnı,3
don,3
qabağa,3
keçə,3
nazənin,3
ayüzlü,3
xasiyyətlər,3
Özümə,3
ləqəb,3
Heyva,3
paxıllıq,3
rəngin,3
paltarım,3
başladı,3
Narınc,3
təriflər,3
müqayisə,3
bağıdır.,3
"bənzəyir,",3
eşidən,3
peyğəmbərlər,3
ərəb,3
"qalan,",3
getmək,3
çəksin.,3
xəstənin,3
eşitcək,3
deyilən,3
bənzəyir.,3
vəzir,3
dərisini,3
Cismini,3
bunları,3
ləzzətindən,3
gülrəngli,3
Qeys,3
anlaşılan,3
yarasından,3
"""nun""",3
qarşısını,3
istəsən,3
"muradını,",3
işlərinə,3
gümüşü,3
vəsmə,3
namusu,3
yanıqlı,3
Ölü,3
"həyat,",3
yaza,3
Zatının,3
sifətlərlə,3
Üzə,3
həsrətində,3
İncə,3
qıfıl,3
vurdu.,3
kamilliyinə,3
əhsən!,3
İsanı,3
qurub,3
sevdasını,3
başsız-ayaqsız,3
"fəqir,",3
yoxluq,3
Tənhalıq,3
çəkmərəm.,3
"məktub,",3
ibarət,3
Xəttinin,3
seyyid,3
Əsli,3
"Elm,",3
ucalıq,3
rəhbəri.,3
münasib,3
baqi,3
yıxdı,3
Fərhadı,3
"qılar,",3
selindən,3
elminə,3
tacım,3
heyranlığım,3
"bulud,",3
"""can""",3
Mübarək,3
"mülkdür,",3
"verməz,",3
qaşlarına,3
"ucalır,",3
açır.,3
sultanın,3
"günüdür,",3
ruhumun,3
"qılmaz,",3
ahından,3
Dəvə,3
Məcnunu,3
"bağla,",3
əlaqəni,3
nun,3
"""dal""",3
belini,3
Çoxları,3
"ortaya,",3
qədəhin,3
yanağa,3
küçəyə,3
"getmə,",3
həvəsim,3
ədəbsiz,3
Kirpiyin,3
sevgisi,3
hurilər,3
ürəyinə,3
yaxası,3
küçə,3
"olduğunu,",3
kafirin,3
Vəslinin,3
günəşindən,3
"qısası,",3
Qurana,3
"asıldı,",3
vəfadan,3
"kafir,",3
gözlərimi,3
Dərdimə,3
"dövrü,",3
Xuraman,3
Fəryad,3
zülmdən,3
oxlar,3
həddindən,3
incəlik,3
kirpiklərindən,3
"asıb,",3
Təriqət,3
adətdir,3
havanı,3
itlər,3
"camaat,",3
dərvişə,3
dirhəm,3
uzaqdır.,3
"anda,",3
ölkəsi,3
sultanlar,3
Ruzigar,3
"olanlar,",3
"yağar,",3
bətər,3
Çəməndə,3
ucunu,3
gəzdirir,3
"deyirsən,",3
tələsinə,3
"düşəli,",3
"görsəm,",3
yayından,3
